Component Type,Design Rule,Parameter,Min,Max,Comments
MIXER,Channel Width,channelWidth,50,5000,
MIXER,Internal Corner Radius,NULL,NULL,NULL,Need a new parameter for corner radius
MIXER,Distance between channels,bendSpacing,500,NULL,
MIXER,Feature Distance from Edge,position,5000,NULL,Get the Device edge and feature position difference
CHANNEL,Channel Width,channelWidth,50,5000,"Connection, Channel, Rounded Channel all same __mint type"
CHANNEL,Channel Height,height,30,500,
CHANNEL,Aspect Ratio,NULL,1:5,2:1,
CHANNEL,Feature Distance from Edge,position,5000,NULL,
TRANSITION,Channel Width,cw1,50,5000,
TRANSITION,Channel Width,cw2,50,5000,
TRANSITION,Feature Distance from Edge,position,5,NULL,
GRADIENT GENERATOR,Channel Width,channelWidth,50,5000,
GRADIENT GENERATOR,Distance between channels,bendSpacing,500,NULL,
GRADIENT GENERATOR,Feature Distance from Edge,position,5000,NULL,
GRADIENT GENERATOR,Aspect Ratio,NULL,1:5,2:1,
CURVED MIXER,Channel Width,channelWidth,50,5000,
CURVED MIXER,Internal Corner Radius,NULL,NULL,NULL,
CURVED MIXER,Distance between channels,bendSpacing,500,NULL,
CURVED MIXER,Feature Distance from Edge,position,5000,NULL,
DIAMOND REACTION CHAMBER,Channel Width,channelWidth,50,5000,
DIAMOND REACTION CHAMBER,Feature Distance from Edge,position,5000,NULL,
REACTION CHAMBER,Channel Width,width,50,5000,
REACTION CHAMBER,Channel Height,height,30,500,
REACTION CHAMBER,Feature Distance from Edge,position,5000,NULL,
REACTION CHAMBER,Internal Corner Radius,cornerRadius,50,NULL,
NOZZLE DROPLET GENERATOR,Channel Width,outputWidth,50,5000,
NOZZLE DROPLET GENERATOR,Feature Distance from Edge,position,5000,NULL,
PORT,Feature Distance from Edge,position,5000,NULL,
VIA,Feature Distance from Edge,position,5000,NULL,
VIA,Via size for connectors,radius,1250,1250,